outer_bc,r,sig_rr,sig_tt,sig_rt_abs,mu,eta,level,n,ana_sig_r,ana_sig_th
free,0.07710291666666666,-2564362.5863521835,2958748.1783283222,32548.63998022825,3341469117.6470575,1.0,2,26,-2885456.2239139285,-533916.2145603335
free,0.07783375000000001,-2492009.077266727,5700919.193105329,19146.28397670011,5315069191.176471,1.0,2,19,-2863479.5313794687,-555892.9070947935
free,0.07856458333333333,-2403853.772687905,8708478.996138798,18043.077274792762,8258616176.470591,1.0,2,18,-2842112.8516745237,-577259.5867997387
free,0.07929541666666667,-2298611.7833667775,11872705.911000293,28428.781784862884,10945202573.529411,1.0,2,18,-2821335.2646354265,-598037.1738388356
free,0.08002625,-2165566.3599362504,15048947.331656277,33992.75344345602,13645271470.588234,1.0,2,18,-2801124.12889886,-618248.3095754021
free,0.08075708333333334,-2006951.5242201006,18062766.61829784,32247.297967063423,16219041066.176472,1.0,2,18,-2757314.4689400685,33507393.756000083
free,0.08148791666666666,-1971147.176226182,20561504.582617424,83607.46440024932,17873621397.058823,1.0,2,32,-2433528.6652838006,33183607.952343814
free,0.08221875000000001,-1837193.870431239,23511968.841454785,140963.5286110761,19451537822.692772,1.0,2,94,-2118339.381429841,32868418.668489855
free,0.08294958333333333,-1631692.362559312,25962871.842639394,163155.76956298127,21645152499.81191,1.0,2,173,-1811443.7788007013,32561523.065860715
free,0.08368041666666667,-1392578.8023696546,27631742.91948929,158276.26699573966,23250363087.25392,1.0,2,319,-1512553.9467379798,32262633.233797994
free,0.08441125,-1142555.5580620947,28763534.44399829,140514.76023915005,24271253956.63192,1.0,2,480,-1221394.3056830969,31971473.59274311
free,0.08514208333333334,-879947.4429853285,29615692.90784938,120196.27560264591,24932410539.10755,1.0,2,680,-937699.611716937,31687778.898776952
free,0.08587291666666666,-639182.3845074659,30039446.1520097,114283.00444560937,25372980540.036484,1.0,2,827,-661217.434227339,31411296.72128735
free,0.08660375000000001,-383319.04147355625,30118065.239192877,103876.80925692621,25494917943.05004,1.0,2,900,-391705.54872630053,31141784.835786253
free,0.08733458333333333,-48342.447783416945,9845916.318964956,60891.34993664772,2409314075.504976,1.0,2,2783,-128930.85209065487,30879010.13915055
