outer_bc,r,sig_rr,sig_tt,sig_rt_abs,mu,eta,level,n,ana_sig_r,ana_sig_th
free,0.05590875,-3785775.1575709255,270953.4940716349,10593.184226302781,113599999.99917597,0.9999999998443443,2,138,-3946202.347723296,526452.3889666445
free,0.05663958333333333,-3734599.3452705313,217224.62018394773,10938.45032238542,113599999.99998844,0.9999999999965454,2,100,-3888862.4411463733,469179.21485337114
free,0.05737041666666667,-3685065.812465309,163606.5759606423,11035.436541997497,113600000.0,0.9999999999999499,2,72,-3833702.227549505,414025.69808774395
free,0.05810125,-3637114.265334933,111552.94528600259,11159.147275249128,113600000.0,1.0,2,55,-3780606.238033925,360930.3319601518
free,0.05883208333333333,-3588526.349623664,61257.579350538,9685.772754360012,113600000.0,1.0,2,42,-3729478.043740621,309802.17100180796
free,0.05956291666666667,-3540455.87747533,12140.363863026987,7237.287213530469,113600000.0,1.0,2,30,-3680221.6707124254,260545.8004934229
free,0.06029375,-3483109.2816228583,-45306.79860952823,3502.276161489759,113600000.0,1.0,2,25,-3632744.2157018194,213068.345606475
free,0.06102458333333333,-3429712.0887995195,-94984.43614283175,3309.315904484633,113600000.0,1.0,2,22,-3586961.093908387,167285.22382983685
free,0.06175541666666667,-3384399.28375736,-136172.3909655256,3247.0311021618727,113600000.0,1.0,2,18,-3542795.1474285126,123119.27735512769
free,0.06248625,-3345701.483511305,-171220.62655858826,3533.60558428084,113600000.0,1.0,2,18,-3500170.6981917573,80494.8281183729
free,0.06321708333333334,-3308014.9184378306,-205206.67596538493,3872.5000691658333,113600000.0,1.0,2,18,-3459014.884744492,39339.014671105586
free,0.06394791666666666,-3271290.357846078,-238123.76086969054,4236.295142699042,113600000.0,1.0,2,18,-3419261.0494315876,-414.8206417972324
free,0.06467875000000001,-3235463.04392445,-270004.27935067087,4650.6081592856535,113600000.0,1.0,2,18,-3380848.5155545957,-38827.35451878867
free,0.06540958333333333,-3200442.92265316,-300899.3583041606,5144.268154817973,113600000.0,1.0,2,18,-3343716.894547827,-75958.97552555737
free,0.06614041666666667,-3158234.383843926,-337637.47997638513,5572.320902853483,113600000.0,1.0,2,26,-3307808.4235790353,-111867.44649434906
free,0.06687125,-3117425.384462025,-372796.40860858856,7241.216798073194,113600000.0,1.0,2,19,-3273070.00038841,-146605.86968497458
free,0.06760208333333334,-3083169.34388797,-401454.51482982584,7728.035534313462,113600000.0,1.0,2,18,-3239453.417922075,-180222.4521513097
free,0.06833291666666666,-3050837.864451413,-427969.14280699764,8834.01840430449,113600000.0,1.0,2,18,-3206909.9597405805,-212765.91033280408
free,0.06906375000000001,-3018819.6961354706,-453472.97334508016,10205.193540372762,113600000.0,1.0,2,18,-3175393.381473059,-244282.48860032595
free,0.06979458333333333,-2986966.0102862087,-477910.57139552716,11930.624016215286,113600000.0,1.0,2,18,-3144860.9591364604,-274814.9109369244
free,0.07052541666666667,-2955091.6168400096,-501183.42900624283,14152.366981135207,113600000.0,1.0,2,18,-3115274.033955143,-304401.83611824183
free,0.07125625,-2914476.416168528,-527881.7506886122,15936.589546154331,113600000.0,1.0,2,24,-3086592.9101719903,-333082.9599013946
free,0.07198708333333334,-2879854.5862804973,-549678.9551415078,24358.97391771619,113600000.0,1.0,2,21,-3058780.232017841,-360895.63805554353
free,0.07271791666666666,-2839167.9760039025,-569561.5876285783,27263.895958286215,113600000.0,1.0,2,18,-3031801.3123995317,-387874.5576738533
free,0.07344875000000001,-2802458.881942486,-581632.8909848512,31396.832284827575,113600000.0,1.0,2,18,-3005624.8844015687,-414050.98567181575
free,0.07417958333333333,-2762237.523639595,-584982.2748787545,36797.933857803866,113600000.0,1.0,2,18,-2980218.3028810923,-439457.56719229225
