r,n,phi,eta,mu,srr_node,srr_face
0.023875,113,1.0,0.999999999809931,113599999.97853579,-3959529.7775693564,-3959728.898003992
0.024125,123,1.0,0.9999999992219204,113599999.91212082,-3959332.4295950183,-3959631.5153215714
0.024375,123,1.0,0.999999996012631,113599999.54959503,-3959350.4356591543,-3959873.874938564
0.024625,140,1.0,0.9999999833275293,113599998.11652018,-3958891.60323538,-3959662.041750452
0.024875,136,1.0,0.9999999276787443,113599991.82912418,-3958375.881644245,-3959558.0788903735
0.025125,154,1.0,0.9999997448164099,113599971.1666145,-3958137.19287371,-3959895.374015317
0.025375,148,1.0,0.9999989752358964,113599884.19918992,-3957454.2027327046,-3960058.9460726236
0.025625000000000002,173,1.0,0.9999960813674948,113599557.14455561,-3956874.7053695,-3960554.464470034
0.025875000000000002,175,1.0,0.9999879508148924,113598638.10711084,-3956394.627218206,-3960995.430355715
0.026125,194,1.0,0.999960051302968,113595484.03645813,-3956401.8909021774,-3962079.9242289825
0.026375,203,1.0,0.9998947890715396,113588104.92474173,-3956217.102982634,-3963192.7694589933
0.026625,202,1.0,0.9997587338897328,113572719.68568821,-3955828.872766722,-3966663.457087634
0.026875,209,1.0,0.9994459382512252,113537347.97825427,-3953597.789493884,-3975510.6657900303
0.027125,201,1.0,0.9989423353518587,113480430.41749065,-3942257.3739408692,-4002163.747018205
0.027375,207,1.0,0.9976176202419463,113331014.55651583,-3914264.8300816836,-4065749.079799319
0.027625,212,1.0,0.992380701585116,112741006.85490388,-3881370.8625923577,-4166054.6262816335
0.027875,213,1.0,0.9746700176736223,110742949.84780651,-3854747.9300491535,-4218247.304476792
0.028125,207,1.0,0.9388223833251305,106694150.56375737,-3793441.974846517,-4119005.791150988
0.028375,215,1.0,0.8856818278726069,100689000.68249987,-3661726.819466321,-3853069.924782961
0.028625,211,1.0,0.8155999230755733,92767721.2440863,-3447589.146469288,-3451227.35724059
0.028875,214,1.0,0.7302880121748525,83123467.31963862,-3143125.0206008134,-2965433.9336351044
0.029125,231,1.0,0.6268587897906815,71428829.64629743,-2721101.1352814017,-2430830.297520352
0.029375000000000002,223,1.0,0.5175633732494753,59068136.68789668,-2236149.045369825,-1934952.1766900392
0.029625000000000002,231,1.0,0.41127953359559344,47045124.903966404,-1751248.789336889,-1510303.5387291643
0.029875000000000002,218,1.0,0.3188876487161357,36591228.20123267,-1331918.174223905,-1168791.4205426108
0.030125,235,1.0,0.2431489701581192,28019883.52757777,-992434.8806078763,-891673.2558514182
0.030375,227,1.0,0.18453652269097298,21385707.772476297,-729739.7683393738,-670722.958752591
0.030625,233,1.0,0.14260373014946004,16638994.82738966,-541651.4354353881,-506124.19661325245
0.030875,228,1.0,0.11285268922970479,13271115.413286874,-407140.0402308565,-385360.4029479692
0.031125,233,1.0,0.09199309975717718,10909805.696300134,-312942.6651493278,-298791.1699521848
0.031375,235,1.0,0.07685009793745101,9195699.616629578,-244508.56253696606,-235050.8641385735
0.031625,241,1.0,0.06562939086995248,7925659.494591862,-194003.73888233642,-187710.5808373718
0.031875,247,1.0,0.0571887254887404,6970346.562033831,-156212.63883038904,-151786.4265681261
0.032125,240,1.0,0.05092830728650904,6261833.003964011,-128346.98406155453,-125101.025818658
0.032375,255,1.0,0.04615181482551991,5721283.28876236,-107247.19634436863,-104774.96404601888
0.032625,239,1.0,0.042649930309023434,5324990.252306844,-91920.21690510114,-89954.77302110562
0.032875,245,1.0,0.04016505627990989,5043792.809338752,-81210.59612166726,-79531.36325333772
