Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.2,671062,557,1204.8,1216.0,896,2304,198.9,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, BC::Constant::FillBoundary(amrex::BaseFab<double> &, const amrex::BoxND<(int)2> &, int, int, int, double, BC::Orientation, const amrex::Mask *)::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)"
0.1,616602,344,1792.4,1856.0,1536,2400,185.1,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::average_down<amrex::FArrayBox>(const amrex::FabArray<T1> &, amrex::FabArray<T1> &, int, int, const amrex::IntVectND<(int)2> &)::[lambda(int, int, int, int) (instance 3)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
0.1,547413,14,39100.9,43791.0,14976,75582,18342.4,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Integrator::Flame::Advance(int, double, double)::[lambda(int, int, int) (instance 2)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)"
0.1,507321,106,4786.0,4864.0,3167,7199,685.0,"void amrex::launch_global<(int)256, void amrex::ReduceOps<amrex::ReduceOpMax>::eval_box<amrex::Reduce::detail::iterate_box_comp, (int)2, amrex::ReduceData<double>, std::enable_if<amrex::IsFabArray<T1, void>::value, void>::type amrex::ReduceOps<amrex::ReduceOpMax>::eval<amrex::FabArray<amrex::FArrayBox>, amrex::ReduceData<double>, T1::value_type amrex::FabArray<amrex::FArrayBox>::norminf<amrex::FArrayBox, (int)0>(int, int, const amrex::IntVectND<(int)2> &, bool, bool) const::[lambda(int, int, int, int, int) (instance 1)]>(const T1&, const amrex::IntVectND<(int)2> &, int, T2 &, T3 &&)::[lambda(int, int, int, int) (instance 1)]>(T1, const amrex::BoxND<T2> &, int, T3 &, const T4 &)::[lambda() (instance 1)]>(T2)"
0.1,480949,162,2968.8,3008.0,2560,3744,250.5,"void amrex::launch_global<(int)256, T1::Type amrex::ReduceOps<amrex::ReduceOpMax>::value<amrex::ReduceData<double>>(T1&)::[lambda() (instance 1)]>(T2)"
0.1,455096,172,2645.9,2688.0,2432,3520,226.2,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, amrex::MLNodeLinOp::interpAssign(int, int, amrex::MultiFab &, amrex::MultiFab &) const::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
0.1,454713,258,1762.5,1664.0,1568,2848,231.1,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, amrex::BaseFab<double>& amrex::BaseFab<double>::plus<(amrex::RunOn)0>(const amrex::BaseFab<double>&, const amrex::BoxND<(int)2> &, const amrex::BoxND<(int)2> &, int, int, int)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
0.1,425659,104,4092.9,4032.0,3008,5728,813.9,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, amrex::average_down(const amrex::MultiFab &, amrex::MultiFab &, const amrex::Geometry &, const amrex::Geometry &, int, int, const amrex::IntVectND<(int)2> &)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
0.1,421787,192,2196.8,2304.0,1792,2880,285.0,"void amrex::launch_global<(int)256, void amrex::detail::ParallelFor_doit<amrex::Array4CopyTag<double, double>, void amrex::detail::fab_to_fab<double, double, amrex::detail::CellStore<double, double>>(const amrex::Vector<amrex::Array4CopyTag<T1, T2>, std::allocator<amrex::Array4CopyTag<T1, T2>>> &, int, int, int, T3 &&)::[lambda(int, int, int, int, int, const amrex::Array4CopyTag<double, double> &) (instance 1)]>(const amrex::TagVector<T1> &, const T2 &)::[lambda() (instance 1)]>(T2)"
0.1,400313,10,40031.3,28415.5,20896,98302,26869.3,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Operator::Elastic<(int)1>::Diagonal(int, int, amrex::MultiFab &)::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)"
