,x,y,Eta001,disp_x,stress_xx
38,4.31640625,2.51953125,1.0,-2.5060687964608564e-05,-9.179023863094793e-05
39,4.35546875,2.51953125,1.0,-2.1277886608977018e-05,-9.807906352241439e-05
40,1.259765625,2.509765625,0.0,-1.5851490013563755e-07,0.00013666416818929034
41,1.279296875,2.509765625,0.0,-1.039857819765685e-06,0.00013722027358799673
42,1.298828125,2.509765625,0.0,-1.9847157212895485e-06,0.00013794244563748834
43,1.318359375,2.509765625,0.0,-2.996944222117133e-06,0.0001387814735338988
44,1.337890625,2.509765625,0.0,-4.077409629076222e-06,0.00013972055616691517
45,1.357421875,2.509765625,0.0,-5.23418072142522e-06,0.00014082073073371428
46,1.376953125,2.509765625,0.0,-6.464595744253546e-06,0.00014196215389613274
47,1.396484375,2.509765625,0.0,-7.770651791961233e-06,0.00014304820930440714
48,1.416015625,2.509765625,0.0,-9.13992067456787e-06,0.00014410173564045897
49,1.435546875,2.509765625,0.0,-1.057753507933944e-05,0.00014489303412585703
50,1.455078125,2.509765625,0.0,-1.2067609337893581e-05,0.00014554561337774572
51,1.474609375,2.509765625,0.0,-1.358858823424686e-05,0.00014606964292347984
52,1.494140625,2.509765625,0.0,-1.5102605956355448e-05,0.00014672339534473473
53,1.513671875,2.509765625,0.0,-1.654917642781386e-05,0.0001476952231019295
54,1.533203125,2.509765625,0.0,-1.7861299653941597e-05,0.0001491797279855306
55,1.552734375,2.509765625,0.0,-1.8976486309914707e-05,0.00015109740204164606
56,1.572265625,2.509765625,0.0,-1.9866243547800067e-05,0.00015286623502081554
57,1.591796875,2.509765625,0.0,-2.053539208281603e-05,0.00015404633655831504
58,1.611328125,2.509765625,0.0,-2.100211342971526e-05,0.00015434738180081632
59,1.630859375,2.509765625,0.0,-2.1297380136119613e-05,0.00015366257529598928
60,1.650390625,2.509765625,0.0,-2.145285241380954e-05,0.00015211855650655267
61,1.669921875,2.509765625,0.0,-2.1501789968928254e-05,0.00014986529620682993
62,1.689453125,2.509765625,0.0,-2.1473741729644253e-05,0.00014699084250612755
63,1.708984375,2.509765625,0.0,-2.139978099750044e-05,0.00014386518271851793
64,2.041015625,2.509765625,0.0,-2.3589837850625333e-05,0.00010675607298938532
65,2.060546875,2.509765625,0.0,-2.4077154277798585e-05,0.00010698904775348937
66,2.080078125,2.509765625,0.0,-2.460435544352792e-05,0.00010733809798415618
67,2.099609375,2.509765625,0.0,-2.5167494648114062e-05,0.0001080470535833957
68,2.119140625,2.509765625,0.0,-2.576430175948643e-05,0.00010903772945904282
69,2.138671875,2.509765625,0.0,-2.639427749374032e-05,0.000110337716963461
70,2.158203125,2.509765625,0.0,-2.7054348427176368e-05,0.00011189378593417072
71,2.177734375,2.509765625,0.0,-2.7745716566755252e-05,0.0001139131096960084
72,2.197265625,2.509765625,0.0,-2.845910517391779e-05,0.00011632699923214902
73,2.216796875,2.509765625,0.0,-2.9201740860500356e-05,0.00011902375018588997
74,2.236328125,2.509765625,0.0,-2.9968761564034906e-05,0.00012213792331299363
75,2.255859375,2.509765625,0.0,-3.076066993277105e-05,0.00012556030792283492
76,2.275390625,2.509765625,0.0,-3.157764510877769e-05,0.00012935705837962733
