r,n,phi,eta,mu,srr_node,srr_face
0.026625,80,1.0,0.9999476946652025,113594090.98176502,-3832530.943015035,-3840068.468176413
0.026875,86,1.0,0.9998396340501124,113581877.08689801,-3833109.40765259,-3838928.0181292836
0.027125,88,1.0,0.9994679317058072,113539844.16995178,-3836309.401238492,-3838242.7938286993
0.027375,93,1.0,0.9988039381318574,113464748.59800681,-3837243.655908389,-3835303.622421212
0.027625,84,1.0,0.9979786493410638,113371404.33388503,-3837479.1958757127,-3834197.7979733013
0.027875,95,1.0,0.997537442197147,113321499.04712346,-3833332.6670747125,-3832313.172251259
0.028125,103,1.0,0.9970067836967373,113261481.05774024,-3834506.0021946332,-3831647.622997449
0.028375,90,1.0,0.9964971118459888,113203832.40075447,-3831093.0178366867,-3830013.248479542
0.028625,91,1.0,0.9961488909163358,113164441.49516842,-3822667.5869052922,-3830128.7316229227
0.028875,106,1.0,0.9961347758097254,113162844.60890345,-3819328.646231434,-3833635.1996603436
0.029125,95,1.0,0.9960784313725485,113156470.58823523,-3805911.2415773296,-3842950.4115734845
0.029375000000000002,100,1.0,0.9960738271099109,113155955.63327762,-3786557.537996875,-3860921.3764667073
0.029625000000000002,101,1.0,0.9959075203689453,113137242.42007492,-3750532.0116548385,-3894346.5737175182
0.029875000000000002,94,1.0,0.9944838303262903,112976805.50204064,-3717099.2630188838,-3953600.376141199
0.030125,111,1.0,0.9878573743825213,112229282.07860972,-3709236.214617557,-4005941.916690458
0.030375,94,1.0,0.9719866412443581,110437549.14571138,-3710594.845093754,-4014569.2748180446
0.030625,101,1.0,0.9463427562182162,107541042.323151,-3691796.201799113,-3944802.675497099
0.030875,114,1.0,0.9014465526386354,102468213.95160244,-3637099.299312817,-3745963.4543005778
0.031125,101,1.0,0.8416519898454042,95710779.02408294,-3519238.00244362,-3429950.053311525
0.031375,101,1.0,0.775007203759677,88178134.85740596,-3312611.4117986984,-3056339.4937523035
0.031625,114,1.0,0.6841792491837012,77910247.07020672,-2989555.9107772964,-2584068.047465516
0.031875,109,1.0,0.5810765015569398,66252089.71972531,-2523016.4208499896,-2112135.997217916
0.032125,106,1.0,0.48054144319831965,54881414.72014147,-2032901.3843890904,-1709347.3285287223
0.032375,105,1.0,0.3907109362077558,44719035.341885656,-1605325.6160872178,-1379584.060008473
0.032625,112,1.0,0.30736630742438115,35288145.643296726,-1223130.106627944,-1092820.4369062071
0.032875,115,1.0,0.23967715210098686,27627083.767350443,-930558.63608333,-859481.703584239
0.033125,104,1.0,0.1914657190811487,22169589.837603834,-727615.6084556117,-686701.628897992
0.033375,115,1.0,0.15736938203525822,18309505.017056152,-584855.7754895014,-556314.3339786632
0.033625,124,1.0,0.12753770939937678,14932107.702871434,-459262.88974923035,-439368.4603163644
0.033875,107,1.0,0.1032212971465072,12179243.984100541,-353473.7479378815,-340950.8966270981
0.034125,106,1.0,0.08264824712007297,9850447.202525018,-259515.46419120795,-254189.06678544747
0.034375,125,1.0,0.05801947850837154,7063139.811336532,-145029.62121928437,-150434.51422593577
0.034625,118,1.0,0.03525315929999313,4487354.500375866,-44756.41109235092,-55589.07324122775
0.034875,115,1.0,0.01942607062426667,2697104.7726867637,19101.42567385519,10095.217682452363
0.035125,114,1.0,0.009889175231277123,1618467.6889785598,54716.89767958187,49987.979299590865
0.035375000000000004,125,1.0,0.0037370428165206583,922661.0654947379,74424.69861077906,74893.37003797459
0.035625000000000004,122,1.0,0.0009487013916729131,607298.6343714137,80301.34540868073,86145.0614637058
0.035875000000000004,113,1.0,0.0001379186276732952,515598.815298902,83881.20198018386,88950.84314631396
0.036125,122,1.0,0.00010195599068178531,511531.2670111695,88096.57101833682,88655.42199463952
0.036375,127,1.0,9.999999999999999e-05,511309.9999999996,87974.70768111393,88007.26268436744
0.036625,118,1.0,9.999999999999999e-05,511309.99999999965,87505.96732725973,87522.61233758056
0.036875,121,1.0,9.999999999999998e-05,511309.99999999977,87026.54668665584,87044.21179263134
0.037125,128,1.0,9.999999999999998e-05,511309.9999999998,86490.93057511754,86490.73881209164
0.037375,129,1.0,9.999999999999999e-05,511309.9999999998,85965.71656029759,85973.83844403694
0.037625,130,1.0,9.999999999999998e-05,511309.9999999999,85464.11136852548,85473.0294084411
0.037875,115,1.0,9.999999999999998e-05,511309.9999999997,85047.96962222083,85047.80872960172
0.038125,136,1.0,9.999999999999999e-05,511309.99999999994,84548.13530871732,84551.2531178386
0.038375,135,1.0,9.999999999999996e-05,511309.9999999998,84058.05661673634,84062.21458593031
0.038625,120,1.0,9.999999999999998e-05,511309.9999999998,83618.75253071103,83625.4017861556
0.038875,127,1.0,9.999999999999999e-05,511309.9999999996,83225.12193166958,83224.95722541999
0.039125,141,1.0,9.999999999999996e-05,511309.99999999977,82758.08317225761,82759.12535904635
0.039375,132,1.0,9.999999999999996e-05,511309.9999999998,82320.10927396496,82322.76758858046
0.039625,131,1.0,9.999999999999998e-05,511309.99999999994,81912.66744014372,81917.18931921615
0.039875,134,1.0,9.999999999999996e-05,511309.99999999977,81511.99794631598,81511.79716152634
0.040125,141,1.0,9.999999999999996e-05,511309.99999999977,81092.30051047921,81092.016394871
0.040375,136,1.0,9.999999999999999e-05,511309.99999999994,80687.32429124811,80688.35571890409
0.040625,125,1.0,9.999999999999999e-05,511309.99999999965,80329.44059946571,80329.31978359244
0.040875,148,1.0,9.999999999999996e-05,511309.9999999998,79943.96703567107,79941.27547589026
0.041125,135,1.0,9.999999999999996e-05,511309.9999999998,79561.62883710698,79559.88449760865
0.041375,138,1.0,9.999999999999996e-05,511309.99999999977,79214.99254394449,79214.60188488747
0.041625,145,1.0,9.999999999999999e-05,511310.0,78831.5990738478,78831.33938758544
0.041875,142,1.0,9.999999999999995e-05,511309.99999999965,78484.16049362773,78479.31111433262
0.042125,143,1.0,9.999999999999996e-05,511309.9999999997,78136.54766881374,78132.49080905644
0.042375,142,1.0,9.999999999999995e-05,511309.99999999965,77783.22596919644,77779.68860227987
0.042625,137,1.0,9.999999999999998e-05,511309.9999999999,77524.91638117154,77511.04215090706
0.042875,146,1.0,9.999999999999998e-05,511309.9999999998,75450.27073572781,77171.64876818469
0.043125000000000004,151,1.0,0.0003747973935212206,542389.9128831265,69907.71589423483,75535.5866551043
0.043375000000000004,128,1.0,0.0018781972680012487,712425.8348431478,66069.6939660375,69267.73430888119
0.043625000000000004,157,1.0,0.005726710538586259,1147692.9691728225,54887.31796768824,52766.88690550355
0.043875000000000004,152,1.0,0.01381675449538129,2062676.4967512595,25977.758776413626,18831.56481523114
0.044125,145,1.0,0.026931164312730727,3545971.302632568,-25050.879753952955,-34918.877990004265
0.044375,148,1.0,0.04571971638318169,5671397.6182898395,-104211.6835038643,-113213.61515017848
0.044625,149,1.0,0.06946228688579242,8357929.244387812,-209768.17284915905,-212205.2265062869
0.044875,152,1.0,0.09468717777592364,11212932.954333838,-323921.0851849188,-315651.6518744499
0.045125,153,1.0,0.12045610331009345,14130008.88074063,-434402.18330119405,-418766.32304488745
0.045375,142,1.0,0.1472162999983522,17159464.49956998,-543641.9524769941,-523224.0943669138
0.045625,167,1.0,0.18387353449006963,21309249.532595698,-690255.1496158403,-660324.06446992
0.045875,154,1.0,0.23584862923012165,27192464.40464852,-901957.5143092712,-845196.5299406198
0.046125,143,1.0,0.2987705637078278,34313611.80077318,-1170781.8258066673,-1060484.8383243456
0.046375,164,1.0,0.3785454942127269,43340340.41942493,-1533924.7291180363,-1338297.2841326394
0.046625,153,1.0,0.4763006913800832,54399155.27459959,-2016699.7029004209,-1698471.5038573334
0.046875,159,1.0,0.5770366031043631,65792432.83936571,-2534672.2599960053,-2116345.213178626
0.047125,156,1.0,0.6742430222481874,76784073.46636827,-3006650.7907126048,-2591241.0024029566
0.047375,165,1.0,0.7626111183443803,86774341.04656257,-3401722.473186353,-3086205.2355593345
0.047625,160,1.0,0.8373569722699362,95223126.11486232,-3645974.223532441,-3537692.4441953213
0.047875,163,1.0,0.8947651209336691,101711286.9147703,-3787316.0140788946,-3883592.0173463207
0.048125,154,1.0,0.9354169484154096,106305121.93448165,-3868686.3634984144,-4101722.6108127385
0.048375,171,1.0,0.965579982206173,109713038.85084829,-3906725.55363901,-4212653.890976648
0.048625,170,1.0,0.9845864506904215,111859642.3276115,-3914656.6778885247,-4222649.362001997
0.048875,159,1.0,0.9929391864736614,112802455.85554133,-3910500.7978598345,-4169425.5415278687
0.049125,164,1.0,0.9955480827535579,113096714.30018295,-3920980.8552034777,-4101484.475043152
0.049375,161,1.0,0.9960549958786831,113153839.96101932,-3930811.9447362507,-4037478.1483949632
0.049625,172,1.0,0.9960784205320101,113156469.36217034,-3939658.9694611356,-3990091.085069525
0.049875,159,1.0,0.9960784313725486,113156470.58823524,-3934331.172836405,-3957116.838354363
0.050125,168,1.0,0.9963691229170492,113189355.05906972,-3924564.9655406587,-3931204.825054528
0.050375,183,1.0,0.9966992960509783,113226700.62948,-3906982.094143979,-3909772.3675089907
0.050625,168,1.0,0.9970423076172396,113265496.11186975,-3887974.6151846126,-3889596.6328356294
0.050875000000000004,156,1.0,0.9973633289204398,113301805.17106159,-3870699.963650266,-3871238.6854684134
0.051125000000000004,173,1.0,0.9978916021898082,113361554.83472888,-3854251.000074085,-3853619.796962264
0.051375000000000004,162,1.0,0.9986449286548349,113446762.40261559,-3838203.3006128157,-3836922.955924556
0.051625000000000004,156,1.0,0.9991841804978675,113507753.5452573,-3820200.3873971985,-3818811.171231573
0.051875000000000004,156,1.0,0.9996490670180062,113560327.49504542,-3797987.215073906,-3799023.845455076
0.052125,157,1.0,0.9999268109263779,113591730.21983233,-3773328.2822477743,-3780862.3448469033
0.052375,141,1.0,0.9999694815645134,113596552.52030428,-3751129.4363393057,-3759298.157256572
0.052625,111,1.0,0.9999956320174375,113599506.98608433,-3732134.234497876,-3739438.865540692
0.052875,115,1.0,0.9999984926581588,113599829.88645454,-3717745.383116689,-3722051.4713720432
0.053125,110,1.0,0.9999996579240454,113599961.42037523,-3699797.2300855215,-3703497.035102044
0.053375,93,1.0,0.9999999535032574,113599994.76088436,-3681700.7145181643,-3683479.034970056
0.053625,95,1.0,0.9999999939447242,113599999.3179511,-3664549.839436157,-3665232.15789618
0.053875,85,1.0,0.9999999989997874,113599999.88738789,-3646560.824073493,-3646907.8505909056
0.054125,87,1.0,0.9999999997720411,113599999.97435169,-3627883.1365884286,-3628241.4844084512
0.054375,75,1.0,0.9999999999691664,113599999.9965311,-3611238.3782153525,-3611261.2063246355
0.054625,77,1.0,0.9999999999940815,113599999.99933444,-3595196.7011976745,-3595170.9038665765
0.054875,76,1.0,0.9999999999992761,113599999.99991858,-3575282.287527259,-3576614.2335119788
0.055125,81,1.0,0.9999999999999272,113599999.99999182,-3559497.6877289605,-3560788.696446374
0.055375,60,1.0,0.9999999999999906,113599999.99999899,-3544451.6944678877,-3545251.8368988624
0.055625,65,1.0,0.9999999999999981,113599999.99999979,-3527985.494929996,-3528158.340969725
0.055875,67,1.0,1.0,113600000.00000004,-3512284.7752399347,-3512739.139174158
0.056125,61,1.0,1.0,113600000.00000001,-3490996.5411764137,-3492069.9392111027
0.056375,57,1.0,1.0,113599999.99999999,-3477664.9877679246,-3477949.8640213558
