kernel,launches,total_ms,pct_of_kernel_time,avg_us,block_x
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Operator::Elastic<(int)1>::SetModel(int, const amrex::FabArray<amrex::BaseFab<Set::Matrix4<(int)2, (int)1>>> &)::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)",15,0.487,0.116,32.5,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Integrator::Base::Mechanics<Model::Solid::Finite::NeoHookeanPredeformed>::TimeStepBegin(double, int)::[lambda(int, int, int) (instance 2)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)",3,0.44,0.104,146.77,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, amrex::MLNodeLinOp::interpAssign(int, int, amrex::MultiFab &, amrex::MultiFab &) const::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",164,0.44,0.104,2.68,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, amrex::BaseFab<double>& amrex::BaseFab<double>::plus<(amrex::RunOn)0>(const amrex::BaseFab<double>&, const amrex::BoxND<(int)2> &, const amrex::BoxND<(int)2> &, int, int, int)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",246,0.422,0.1,1.72,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, amrex::FabArray<amrex::IArrayBox>::ParallelCopy_nowait(const amrex::FabArray<amrex::IArrayBox>&, int, int, int, const amrex::IntVectND<(int)2> &, const amrex::IntVectND<(int)2> &, const amrex::IntVectND<(int)2> &, const amrex::Periodicity &, amrex::FabArrayBase::CpOp, const amrex::FabArrayBase::CPC *, bool, bool)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",258,0.406,0.096,1.57,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Operator::Elastic<(int)1>::Diagonal(int, int, amrex::MultiFab &)::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)",10,0.399,0.095,39.88,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, amrex::CellConservativeLinear::interp(const amrex::FArrayBox &, int, amrex::FArrayBox &, int, int, const amrex::BoxND<(int)2> &, const amrex::IntVectND<(int)2> &, const amrex::Geometry &, const amrex::Geometry &, const amrex::Vector<amrex::BCRec, std::allocator<amrex::BCRec>> &, int, int, amrex::RunOn)::[lambda(int, int, int, int) (instance 11)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",96,0.357,0.085,3.72,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, long, std::enable_if<!std::is_trivially_default_constructible_v, void>::type amrex::placementNew<Set::Matrix4<(int)2, (int)1>>(T1 *, long)::[lambda(long) (instance 1)], void>(const amrex::Gpu::KernelInfo &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",15,0.338,0.08,22.54,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, BC::Constant::FillBoundary(amrex::BaseFab<double> &, const amrex::BoxND<(int)2> &, int, int, int, double, BC::Orientation, const amrex::Mask *)::[lambda(int, int, int) (instance 2)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)",247,0.307,0.073,1.24,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, BC::Constant::FillBoundary(amrex::BaseFab<double> &, const amrex::BoxND<(int)2> &, int, int, int, double, BC::Orientation, const amrex::Mask *)::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)",247,0.301,0.071,1.22,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, amrex::average_down(const amrex::MultiFab &, amrex::MultiFab &, const amrex::Geometry &, const amrex::Geometry &, int, int, const amrex::IntVectND<(int)2> &)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",74,0.298,0.071,4.02,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::BaseFab<double>::setVal<(amrex::RunOn)0>(const double &, const amrex::BoxND<(int)2> &, amrex::DestComp, amrex::NumComps)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",246,0.275,0.065,1.12,256
"void amrex::launch_global<(int)256, void amrex::ReduceOps<amrex::ReduceOpSum, amrex::ReduceOpSum, amrex::ReduceOpSum>::eval_box<amrex::Reduce::detail::iterate_box, (int)2, amrex::ReduceData<double, double, double>, Integrator::Flame::Integrate(int, double, int, const amrex::MFIter &, const amrex::BoxND<(int)2> &)::[lambda(int, int, int) (instance 1)]>(T1, const amrex::BoxND<T2> &, int, T3 &, const T4 &)::[lambda() (instance 1)]>(T2)",18,0.25,0.059,13.91,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, IC::Expression::Add(const int &, Set::Field<double> &, double)::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)",15,0.249,0.059,16.57,256
"void amrex::launch_global<(int)256, T1::Type amrex::ReduceOps<amrex::ReduceOpSum, amrex::ReduceOpSum, amrex::ReduceOpSum, amrex::ReduceOpSum>::value<amrex::ReduceData<double, double, double, double>>(T1&)::[lambda() (instance 1)]>(T2)",36,0.196,0.046,5.44,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Integrator::Base::Mechanics<Model::Solid::Finite::NeoHookeanPredeformed>::TimeStepBegin(double, int)::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)",3,0.159,0.038,52.9,256
"void amrex::launch_global<(int)256, void amrex::ReduceOps<amrex::ReduceOpSum, amrex::ReduceOpSum, amrex::ReduceOpSum, amrex::ReduceOpSum>::eval_box<amrex::Reduce::detail::iterate_box, (int)2, amrex::ReduceData<double, double, double, double>, Integrator::Base::Mechanics<Model::Solid::Finite::NeoHookeanPredeformed>::Integrate(int, double, int, const amrex::MFIter &, const amrex::BoxND<(int)2> &)::[lambda(int, int, int) (instance 1)]>(T1, const amrex::BoxND<T2> &, int, T3 &, const T4 &)::[lambda() (instance 1)]>(T2)",18,0.111,0.026,6.18,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Integrator::Flame::UpdateModel(int, double)::[lambda(int, int, int) (instance 2)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)",6,0.105,0.025,17.55,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::FabArray<amrex::BaseFab<Set::Matrix4<(int)2, (int)1>>>::setVal<amrex::BaseFab<Set::Matrix4<(int)2, (int)1>>, (int)0>(Set::Matrix4<(int)2, (int)1>, int, int, const amrex::IntVectND<(int)2> &)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",3,0.103,0.025,34.47,256
"void amrex::launch_global<(int)256, void amrex::detail::ParallelFor_doit<amrex::Array4CopyTag<double, double>, void amrex::detail::fab_to_fab<double, double, amrex::detail::CellStore<double, double>>(const amrex::Vector<amrex::Array4CopyTag<T1, T2>, std::allocator<amrex::Array4CopyTag<T1, T2>>> &, int, int, int, T3 &&)::[lambda(int, int, int, int, int, const amrex::Array4CopyTag<double, double> &) (instance 1)]>(const amrex::TagVector<T1> &, const T2 &)::[lambda() (instance 1)]>(T2)",48,0.103,0.024,2.14,256
"void amrex::launch_global<(int)256, void amrex::ReduceOps<amrex::ReduceOpSum, amrex::ReduceOpSum, amrex::ReduceOpSum, amrex::ReduceOpSum>::eval_box<amrex::Reduce::detail::iterate_box, (int)2, amrex::ReduceData<double, double, double, double>, Integrator::Base::Mechanics<Model::Solid::Finite::NeoHookeanPredeformed>::Integrate(int, double, int, const amrex::MFIter &, const amrex::BoxND<(int)2> &)::[lambda(int, int, int) (instance 2)]>(T1, const amrex::BoxND<T2> &, int, T3 &, const T4 &)::[lambda() (instance 1)]>(T2)",18,0.1,0.024,5.56,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, Operator::Elastic<(int)1>::averageDownCoeffsSameAmrLevel(int)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",4,0.096,0.023,24.06,256
"void amrex::launch_global<(int)256, T1::Type amrex::ReduceOps<amrex::ReduceOpSum, amrex::ReduceOpSum, amrex::ReduceOpSum>::value<amrex::ReduceData<double, double, double>>(T1&)::[lambda() (instance 1)]>(T2)",18,0.082,0.02,4.58,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::FabArray<amrex::BaseFab<Eigen::Matrix<double, (int)2, (int)2, (int)0, (int)2, (int)2>>>::setVal<amrex::BaseFab<Eigen::Matrix<double, (int)2, (int)2, (int)0, (int)2, (int)2>>, (int)0>(Eigen::Matrix<double, (int)2, (int)2, (int)0, (int)2, (int)2>, int, int, const amrex::IntVectND<(int)2> &)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",18,0.076,0.018,4.21,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, amrex::FabArray<amrex::BaseFab<Set::Matrix4<(int)2, (int)1>>>::ParallelCopy_nowait(const amrex::FabArray<amrex::BaseFab<Set::Matrix4<(int)2, (int)1>>>&, int, int, int, const amrex::IntVectND<(int)2> &, const amrex::IntVectND<(int)2> &, const amrex::IntVectND<(int)2> &, const amrex::Periodicity &, amrex::FabArrayBase::CpOp, const amrex::FabArrayBase::CPC *, bool, bool)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",4,0.066,0.016,16.59,256
