r,sig_rr,sig_tt,sig_rt_abs,mu,eta,level,n,ana_sig_r,ana_sig_th
0.016080999999999998,-3980533.4283019984,-3980843.603528301,715.1347312120873,113600000.0,1.0,1,43,-3908124.846670083,-3908124.846670083
0.016905666666666666,-3980698.602512168,-3980724.070844652,813.6411639199765,113600000.0,1.0,1,50,-3908124.846670083,-3908124.846670083
0.017730333333333334,-3980688.7383982018,-3980729.9654362528,873.9406092072487,113600000.0,1.0,1,53,-3908124.8466700986,-3908124.846671254
0.018555000000000002,-3980715.5213736994,-3980715.5050995294,902.5686298727478,113600000.0,1.0,1,49,-3908124.8466704874,-3908124.8466971135
0.019379666666666667,-3980644.464636283,-3980745.902907452,1026.4888875438553,113600000.0,1.0,1,53,-3908124.8466779594,-3908124.847271673
0.020204333333333335,-3980626.1573855495,-3980758.35922613,941.6901643873019,113600000.0,1.0,1,63,-3908124.8468509614,-3908124.8593917536
0.021029,-3984270.8078330476,-3979249.6752143046,255.04568448946654,113600000.0,1.0,2,1,-3908124.8496097648,-3908125.047640203
0.021853666666666667,-3981225.0567731704,-3980457.8534255032,418.9972510882566,113600000.0,0.9999999999999297,2,22,-3908124.882735848,-3908126.1850673403
0.022678333333333335,-3980665.72456803,-3980688.840856871,738.6414810889312,113599999.99997503,0.9999999999770426,2,85,-3908125.152492934,-3908145.338327361
0.023503000000000003,-3980667.629079722,-3980943.7303953217,996.2828489398049,113599999.99299318,0.9999999984188457,2,123,-3908129.099503378,-3908411.097119693
0.024327666666666668,-3980075.531440077,-3983304.5438624327,1116.2567666717287,113599999.25360873,0.9999998210405805,2,194,-3908169.8308855826,-3910856.2976098955
0.025152333333333332,-3979092.282589467,-3995463.891112626,1255.4886874336871,113599963.65458594,0.999991988708928,2,249,-3908449.0546965445,-3925235.3595446832
0.025977,-3977733.5887236674,-4048691.603195043,1924.0627024318574,113598388.76190153,0.9997427106978639,2,305,-3909886.037421047,-3991822.4886994227
0.026801666666666668,-3957035.052111139,-4206667.045564767,3844.33899342588,113556769.47748013,0.9970558566818354,2,321,-3915010.9112674035,-4179896.477205921
0.051541666666666666,-4055928.0356834126,244703.94417899294,26194.865816432542,113405555.6509035,0.992922576402435,2,593,-4344305.745524916,181486.78779687916
0.052366333333333334,-4049203.1048640865,444705.1398965209,9171.63061371642,113589818.02939045,0.9982780931713815,2,591,-4270098.263150018,464520.8891036538
0.053191,-3986131.5423955433,474022.7687723963,6063.03757542361,113599757.84863518,0.9998771022024163,2,573,-4196144.962869062,516283.2990443922
0.05401566666666667,-3921676.5891948454,439382.11967344425,4554.244739028265,113599997.04249488,0.9999967787460946,2,533,-4124390.8481696923,483429.8123670031
0.05484033333333334,-3858685.930006805,382755.9788103714,3962.0403075307095,113599999.9670929,0.9999999644185893,2,482,-4055557.871273465,421340.8726244069
0.055665,-3794615.4813757334,322300.8472880441,1403.3725118171465,113599999.99935086,0.9999999996860486,2,342,-3989716.5272136945,356314.04827078804
0.05648966666666667,-3733461.388693393,263149.88045941707,836.117947031092,113599999.99999686,0.9999999999979775,2,257,-3926733.260890414,293429.2666805232
0.057314333333333335,-3676392.4406486307,206678.5310168609,723.9797680636722,113600000.0,1.0,2,188,-3866448.20317762,233151.9730270059
0.058139,-3621485.3404536275,152585.9547886812,894.5579952112048,113600000.0,1.0,2,143,-3808710.1060889685,175414.35251999123
0.058963666666666664,-3568676.5389823145,100377.38830879162,1141.3403279101017,113600000.0,1.0,2,100,-3753377.94065024,120082.21405137765
0.05978833333333333,-3520147.771225232,52568.38621046829,1414.48897195524,113600000.0,1.0,2,72,-3700319.391094569,67023.66562893732
0.060613,-3472157.6805810654,5873.935295208219,1663.8530221380595,113600000.0,1.0,2,48,-3649411.502590939,16115.777160750842
0.06143766666666667,-3424818.427797832,-40309.42182408944,1890.3175531896202,113600000.0,1.0,2,22,-3600540.880584404,-32754.844845057713
0.062262333333333336,-3384446.556191711,-80164.80336904345,2164.4664425526407,113600000.0,1.0,2,9,-3553599.5456223343,-79696.17980712691
0.063087,-3337124.405398354,-129172.49561813872,2577.1035268729997,113600000.0,1.0,1,143,-3508483.8479736834,-124811.8774557809
0.06391166666666667,-3297394.3894771254,-168277.43855371088,2607.418563513643,113600000.0,1.0,1,134,-3465107.092149861,-168188.63327960027
0.06473633333333334,-3257225.2379832356,-207383.689200245,2814.7204147132884,113600000.0,1.0,1,152,-3423374.560043957,-209921.16538550443
0.06556100000000001,-3215751.7618466313,-246572.74015230482,2921.6686747165263,113600000.0,1.0,1,157,-3383208.7599198627,-250086.9655095988
0.06638566666666666,-3179660.6741894605,-280766.9830195854,3066.190506976626,113600000.0,1.0,1,155,-3344529.4399289144,-288766.2855005472
0.06721033333333333,-3144952.3346570604,-314549.9997333072,2927.0516992348716,113600000.0,1.0,1,182,-3307265.318052288,-326030.4073771731
0.068035,-3110086.8496436398,-348611.9199031378,2943.517770747187,113600000.0,1.0,1,185,-3271348.49585123,-361947.2295782313
0.06885966666666667,-3076653.2568128915,-380448.31081147195,3135.2965326153603,113600000.0,1.0,1,192,-3236713.155790642,-396582.5696388193
0.06968433333333333,-3045219.9579844084,-411864.9399761499,3007.2638233973116,113600000.0,1.0,1,202,-3203301.9098240333,-429993.8156054279
0.070509,-3013717.6271113055,-443025.4966105256,2996.4812261162815,113600000.0,1.0,1,206,-3171054.083764936,-462241.6416645253
0.07133366666666667,-2983773.759044102,-472364.94656153274,3053.4015381447216,113600000.0,1.0,1,197,-3139920.3917731512,-493375.33365631
0.07215833333333334,-2956562.5941783,-499160.15072225296,3075.684223545932,113600000.0,1.0,1,192,-3109846.425531256,-523449.29989820503
0.072983,-2928180.019940528,-526711.8133413143,3090.9541975176535,113600000.0,1.0,1,224,-3080787.067614448,-552508.6578150138
0.07380766666666667,-2896539.6282558553,-565316.442943175,2401.9798883525655,113600000.0,1.0,2,2,-3052695.8843628485,-580599.841066613
0.07463233333333333,-2874073.2086592116,-584806.0987320681,2933.7553037198045,113600000.0,1.0,2,37,-3025530.607883816,-607765.117545645
0.075457,-2850141.250296277,-607161.5950294128,3308.664438868553,113600000.0,1.0,2,137,-2999251.6714186342,-634044.0540108273
0.07628166666666666,-2826694.792510221,-629743.2228691237,3387.53462514733,113600000.0,1.0,2,274,-2973819.3847497236,-659476.3406797376
0.07710633333333333,-2801214.7457808317,-651142.118816302,3731.9327988704995,113600000.0,1.0,2,585,-2949200.105771531,-684095.6196579303
0.077931,-2779618.3406461864,-673668.3876083065,4038.410150545798,113600000.0,1.0,2,770,-2925356.883406661,-707938.8420227999
0.07875566666666667,-2757403.9478254407,-693424.7685158409,5222.766330323976,113600000.00233941,1.0,2,874,-2902260.0017928556,-731035.7236366057
0.07958033333333334,-2680449.6711281864,-701144.5222293292,20057.01514319169,113601031.45126912,1.0,2,934,-2879876.545778353,-753419.1796511087
0.080405,-2147595.5916174343,-884616.2563708265,167698.7284175667,801156674.867275,1.0,2,921,-2858178.711838817,-775117.0135906454
0.08122966666666667,-2866706.643202625,-1046885.8061157479,70075.5545568697,25997642222.557415,1.0,2,973,-2838275.8738493803,-970115.0703418131
0.08205433333333334,-2664135.139900767,-962792.5598132691,24794.781658328866,25999999995.491146,1.0,2,953,-2819594.7304675076,-988796.2137244374
0.08287900000000001,-2665825.2058118014,-988385.3083748487,36678.529542999946,25999999999.99999,1.0,2,724,-2801468.4537861915,-1006922.4904057333
0.08370366666666668,-2652485.255022655,-1023325.5271518378,50081.465172824945,26000000000.0,1.0,2,517,-2783875.2852502335,-1024515.658941237
0.08452833333333333,-2636581.1244115476,-1056077.921984571,66686.39922322686,26000000000.0,1.0,2,289,-2766794.522491298,-1041596.4216983538
