outer_bc,r,sig_rr,sig_tt,sig_rt_abs,mu,eta,level,n,ana_sig_r,ana_sig_th
free,0.01515325,-3774947.804155358,-3831615.694618296,16018.530594703825,113600000.0,1.0,1,16,-3760522.6307420786,-3760522.6307420786
free,0.01577175,-3779109.7560368767,-3828882.940192883,19614.307441654062,113600000.0,1.0,1,19,-3760522.6307420786,-3760522.6307420786
free,0.016390250000000002,-3777706.3436886393,-3826943.23299863,16586.553228449404,113600000.0,1.0,1,19,-3760522.6307420786,-3760522.630742113
free,0.01700875,-3780028.65322881,-3824279.8648203933,17914.68840930789,113600000.0,1.0,1,19,-3760522.630742082,-3760522.630742315
free,0.01762725,-3780331.0282792994,-3823063.5300569185,17628.023737831754,113600000.0,1.0,1,23,-3760522.6307421247,-3760522.630743828
free,0.01824575,-3781182.5504488624,-3821651.6927293483,18427.164989120927,113600000.0,1.0,1,24,-3760522.6307424037,-3760522.6307643172
free,0.01886425,-3777978.279240858,-3822031.308577837,19734.44953533686,113600000.0,1.0,1,21,-3760522.630745913,-3760522.6309568686
free,0.01948275,-3781768.5215889686,-3817879.6801136765,19825.342674666055,113600000.0,1.0,1,27,-3760522.6307758153,-3760522.6332320822
free,0.02010125,-3782547.8719467404,-3816171.7946842797,18907.05057881708,113600000.0,1.0,1,28,-3760522.631000903,-3760522.6448458573
free,0.020719750000000002,-3781931.8427669904,-3814584.7744280454,20301.16898515162,113600000.0,0.9999999999998608,1,30,-3760522.632718748,-3760522.7572277007
free,0.02133825,-3783878.3758650147,-3811577.874969761,23745.299595811328,113600000.0,0.9999999999993804,1,28,-3760522.646262171,-3760523.8021246586
free,0.02195675,-3809041.5450357804,-3812966.703006509,24339.54687949453,113599999.99998891,0.9999999999811009,1,37,-3760522.7332082554,-3760528.410776842
free,0.02257525,-3812015.5866923835,-3815708.947072945,26470.65756168917,113599999.99965295,0.9999999999158515,1,45,-3760523.2315815943,-3760552.2419851143
free,0.02319375,-3816205.8136304975,-3816100.6333327475,27970.135057795433,113599999.99082446,0.9999999974185695,1,46,-3760526.118686697,-3760751.701834911
free,0.02381225,-3819226.048642629,-3818376.450148784,30491.931891751698,113599999.80548799,0.9999999754284301,1,47,-3760540.876937678,-3761684.598192131
free,0.02443075,-3803446.9352887124,-3768040.337846256,43942.5681509732,113599997.31669366,0.9999999760355296,2,2,-3760603.0314644068,-3764825.37706671
free,0.025049250000000002,-3814911.002219146,-3796527.5928107128,34655.5080878282,113599971.12540701,0.9999985291284006,2,12,-3760835.8365681074,-3777945.9547120202
free,0.02566775,-3820251.6036454733,-3849566.7720800233,27252.996397655403,113599581.9910663,0.9999650759861766,2,29,-3761543.870518914,-3807841.173259994
free,0.02628625,-3820260.327534937,-3924777.7264968297,24734.653147975274,113593032.4410434,0.9996452872000873,2,47,-3763630.0758296256,-3901642.8579999637
free,0.02690475,-3783825.37804508,-4115806.9373036465,23253.741707313333,113524937.04885812,0.9977060133029247,2,65,-3769027.4250896084,-4114296.58378699
free,0.02752325,-3734633.9792927727,-5032071.186885215,43601.5251692319,112671614.10780542,0.9694297940647463,2,128,-3785934.4327047155,-5121745.112170907
free,0.051026249999999995,-3877578.743290799,-909248.727984301,66480.42803489321,112207963.12760234,0.9623009023967486,2,194,-4249282.248357445,-813528.1581946042
free,0.05164475,-3894029.3064946206,92295.99813643841,64873.62022753399,113390086.74748072,0.9960386561323681,2,133,-4199982.204184467,265231.9496998502
free,0.05226325,-3946880.9083859366,238637.20487517302,51267.97814094126,113551859.06540698,0.9987940343452457,2,60,-4146007.037357713,432734.5211238994
free,0.052881750000000005,-3917326.4259494636,319534.6682693962,43204.48452627655,113593916.26001596,0.9997938935486952,2,26,-4091807.026434962,536715.4310648155
free,0.05350025,-3864948.187622391,351811.412543775,41830.51830914919,113599691.56908388,0.9999822703481116,2,11,-4038077.1804339066,564390.286327515
free,0.05411875000000001,-3824952.6048847176,338633.2444613897,36488.82840110466,113599980.85673913,0.9999998024153348,2,2,-3985587.2668489283,540638.6982322779
free,0.05473725,-3697093.2212221893,350979.1097071431,23059.16323744475,113599998.77345258,0.9999997763919604,1,120,-3934684.8406652566,496939.87714029045
free,0.055355749999999995,-3658214.75918206,298952.92345998285,19379.396114489497,113599999.92332417,0.9999999892748317,1,114,-3885434.925528463,449262.32659026235
free,0.05597425,-3642703.89386151,248753.674263316,17113.60894773684,113599999.99615885,0.999999999595807,1,113,-3837798.6160806334,402089.9277793094
free,0.05659275,-3603220.8430561367,208462.54219575372,15235.404170235463,113599999.999877,0.9999999999839968,1,109,-3791713.6620146576,356092.60230787063
free,0.057211250000000005,-3568997.95439492,168327.0153579087,12191.513348477225,113599999.99999607,0.9999999999996085,1,100,-3747115.050547668,311510.83771871636
free,0.05782975,-3525757.4452697397,133242.38281010243,10239.157058436205,113600000.0,1.0,1,98,-3703939.4799389592,268337.6647071643
free,0.05844825000000001,-3494599.7891536606,93433.87267970666,9873.249909737428,113600000.0,1.0,1,107,-3662127.064480605,226525.59659732095
free,0.05906675,-3452583.8779935413,57959.47192979274,9272.943145351812,113600000.0,1.0,1,97,-3621621.253877621,186019.82704694892
free,0.059685249999999995,-3413133.7878131582,24445.57455171363,9293.767362107063,113600000.0,1.0,1,92,-3582368.1978693665,146766.77512420336
free,0.06030375,-3382299.1868829555,-10888.121100774653,8692.84695487014,113600000.0,1.0,1,99,-3544317.078993223,108715.65669395807
free,0.06092225,-3346197.2596727777,-43961.01266945113,9026.892228683924,113600000.0,1.0,1,95,-3507420.4912695386,71819.06900849659
free,0.061540750000000005,-3311000.5008155666,-75798.3111973479,9538.445439259944,113600000.0,1.0,1,92,-3471629.1276286417,36027.70537151761
free,0.06215925,-3278877.776511198,-105605.79950719539,9116.50794336374,113600000.0,1.0,1,86,-3436900.3466159436,1298.9243590089968
free,0.06277775000000001,-3252534.269258274,-136324.65043276586,9423.917688586627,113600000.0,1.0,1,96,-3403192.5186922485,-32408.903564685537
free,0.06339625,-3225053.328790712,-166155.92464629788,9594.129965051008,113600000.0,1.0,1,90,-3370466.648382118,-65134.77387481648
free,0.06401475000000001,-3184554.875321299,-192606.17161329446,9821.276141053726,113600000.0,1.0,1,88,-3338686.2951254477,-96915.12713148676
free,0.06463325,-3152124.3675735397,-219480.7750598088,10292.529750690543,113600000.0,1.0,1,88,-3307813.4634059374,-127787.95885099696
free,0.06525175,-3131855.3136689956,-247805.94917458633,9880.026474261042,113600000.0,1.0,1,94,-3277813.942407402,-157787.47984953228
free,0.06587025,-3096886.5685844985,-273922.09564425715,10809.0654817646,113600000.0,1.0,1,90,-3248655.117503928,-186946.30475300655
free,0.06648875,-3072675.61914576,-299165.8728709337,10728.778202598696,113600000.0,1.0,1,86,-3220305.8817633977,-215295.54049353686
free,0.06710725000000001,-3048644.7657088796,-323876.2122070077,10965.866081143682,113600000.0,1.0,1,98,-3192737.340482582,-242864.08177435253
free,0.06772575,-3023530.391092069,-348923.182024898,11229.95911624495,113600000.0,1.0,1,104,-3165921.5709558963,-269679.8513010381
free,0.06834425,-2997367.1329362458,-372245.72266143083,11590.33729986505,113600000.0,1.0,1,102,-3139830.16791651,-295771.2543404249
free,0.06896275,-2974785.2258737506,-393736.91638264863,12304.789880752427,113600000.0,1.0,1,107,-3114437.28753556,-321164.1347213741
free,0.06958125000000001,-2956681.7836994785,-416902.726421539,12052.147998477607,113600000.0,1.0,1,125,-3089718.2277785335,-345883.19447840075
free,0.07019975,-2929174.9690324976,-438131.84794737713,12978.65455341959,113600000.0,1.0,1,121,-3065649.3684327034,-369952.05382423114
